case_id,dataset_id,dataset_name,source_record_id,source_index,model_id,model_name,input,reference,output,error,context_source,exact_match,edit_similarity,chrf,wer,length_ratio,input_tokens,output_tokens,generation_seconds,tokens_per_second
V01,voiceink-validation,VoiceInk validation sample,59,59,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.",Where should I return the folding chairs: the parish hall or the sports pavilion? Who has the storage key? I can go tomorrow.,,dataset_system_prompt,False,0.9384615384615383,0.8430541711685214,0.2,0.9259259259259259,102,28,0.6868321250003646,40.76687589414245
V02,voiceink-validation,VoiceInk validation sample,67,67,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to Dev: The freezer door looks shut, but it isn’t sealing. So push it until you hear two clicks.",,dataset_system_prompt,False,0.9209302325581397,0.8066944853765727,0.2727272727272727,0.9369369369369369,100,25,0.5835767919998034,42.839263560036194
V03,voiceink-validation,VoiceInk validation sample,113,113,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken,

We heard about your new house. May we visit next Sunday around tea time? Warm wishes, Lou and Fay",,dataset_system_prompt,False,0.9722222222222221,0.9819977433574129,0.21052631578947367,1.0,100,26,0.6225055000004431,41.766699250017055
V04,voiceink-validation,VoiceInk validation sample,213,213,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?","Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car?",,dataset_system_prompt,False,0.8524590163934427,0.7076558470661475,0.4166666666666667,0.90625,101,23,0.5136878749999596,44.774270757318945
V05,voiceink-validation,VoiceInk validation sample,426,426,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive Saturday morning, separate the white laundry, wash the towels at sixty, and hang the linen shirts instead of machine drying them.",,dataset_system_prompt,False,0.952076677316294,0.8856037628468175,0.16,0.9685534591194969,101,29,0.6496267920001628,44.64101597582005
V06,voiceink-validation,VoiceInk validation sample,465,465,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will be moved to reception before Monday's delivery.",,dataset_system_prompt,False,0.9693251533742331,0.8591032282242432,0.20833333333333334,1.0248447204968945,101,30,0.5607733329998155,53.49755103281609
V07,voiceink-validation,VoiceInk validation sample,582,582,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.","Support closed the incident at 11:40 UTC. Service had been stable since 10:05, and monitoring continued overnight with the incident commander remaining on call.",,dataset_system_prompt,False,0.9371069182389937,0.8247407882006729,0.2916666666666667,1.0126582278481013,103,37,0.7363970000005793,50.24463706393548
V08,voiceink-validation,VoiceInk validation sample,650,650,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.","The sales manager approved the 5% discount, but not the free implementation package shown in the latest quote despite a separate verbal concession request.",,dataset_system_prompt,False,0.9006211180124224,0.8269121004510483,0.28,0.9281437125748503,99,28,0.6359163750003063,44.03094667909206
V09,voiceink-validation,VoiceInk validation sample,948,948,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipeline finish green even though the schema validation step logged seventeen errors? Is it continue on error set somewhere?,,dataset_system_prompt,False,0.935251798561151,0.8637206332109523,0.25,1.0746268656716418,99,25,0.5633887089998098,44.374336227615885
V10,voiceink-validation,VoiceInk validation sample,1001,1001,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.","Please shorten the permission dialog. It currently says: “In order to continue, we need to be able to access your microphone.” Keep the reason visible though.",,dataset_system_prompt,False,0.9905362776025235,0.9376704584932898,0.07692307692307693,0.9937106918238994,101,32,0.6662800839994816,48.027850101587156
V11,voiceink-validation,VoiceInk validation sample,1107,1107,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,the search index skipped records with emoji in the title reprocessing succeeds after unicode normalization form c is applied period existing records need back filling,The search index skipped records with emoji in the title. Reprocessing succeeds after Unicode Normalization Form C is applied. Existing records need backfilling.,The search index skipped records with emoji in the title. Reprocessing succeeds after Unicode normalization from C is applied. Existing records need backfilling.,,dataset_system_prompt,False,0.9813664596273292,0.9274900124776114,0.08695652173913043,1.0,100,29,0.6313215000000127,45.93539108045491
V12,voiceink-validation,VoiceInk validation sample,1111,1111,cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,paragraph break the tablet layout is usable in portrait period in landscape the sticky footer overlaps the final form field by twenty four pixels period rotation does not recalculate it,"The tablet layout is usable in portrait. In landscape, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate it.","The tablet layout is usable in portrait. In landscape, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate it.",,dataset_system_prompt,True,1.0,1.0,0.0,1.0,105,32,0.5852821669996047,54.67448318824587
