case_id,dataset_id,dataset_name,source_record_id,source_index,model_id,model_name,input,reference,output,error,context_source,exact_match,edit_similarity,chrf,wer,length_ratio,input_tokens,output_tokens,generation_seconds,tokens_per_second
V01,voiceink-validation,VoiceInk validation sample,59,59,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.","Where should I return the folding chairs? The parish hall or the sports pavilion?

Question: Who has the storage key?
I can go tomorrow.",,dataset_system_prompt,False,0.8929889298892989,0.8176226954888203,0.32,1.0074074074074073,102,32,1.0540694159999475,30.358531909061284
V02,voiceink-validation,VoiceInk validation sample,67,67,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to dev: The freezer door looks shut, but it isnt sealing, so push it until you hear two clicks.",,dataset_system_prompt,False,0.9252336448598131,0.7811571994483819,0.2727272727272727,0.9279279279279279,100,24,0.586302582999906,40.93449474024208
V03,voiceink-validation,VoiceInk validation sample,113,113,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken,

We heard about your new house. May we visit next Sunday around tea time?

Warm wishes,
Lou and Fay",,dataset_system_prompt,False,0.9953917050691244,0.9819977433574129,0.10526315789473684,1.0092592592592593,100,28,0.5795653749996745,48.31206488140484
V04,voiceink-validation,VoiceInk validation sample,213,213,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?","Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car?",,dataset_system_prompt,False,0.8524590163934427,0.7076558470661475,0.4166666666666667,0.90625,101,23,0.5570846669997991,41.286363388652184
V05,voiceink-validation,VoiceInk validation sample,426,426,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive, Saturday morning:

- Separate the white laundry.
- Wash the towels at sixty.
- Hang the linen shirts instead of machine drying them.",,dataset_system_prompt,False,0.8769716088328076,0.7188907789185063,0.48,0.9937106918238994,101,35,0.7320684589999473,47.80973632959444
V06,voiceink-validation,VoiceInk validation sample,465,465,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to reception before Monday’s delivery.

Best,
[Your Name]",,dataset_system_prompt,False,0.9325513196480939,0.9101226412703347,0.16666666666666666,1.1180124223602483,101,37,0.749956249999741,49.33621127900832
V07,voiceink-validation,VoiceInk validation sample,582,582,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.","Support closed the incident at 11:40 UTC. Service had been stable since 10:05, and monitoring continued overnight with the incident commander remaining on call.",,dataset_system_prompt,False,0.9371069182389937,0.8247407882006729,0.2916666666666667,1.0126582278481013,103,37,0.7218661249999059,51.25604141627345
V08,voiceink-validation,VoiceInk validation sample,650,650,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.",The sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request.,,dataset_system_prompt,False,0.8580060422960725,0.7465118579215112,0.4,0.9820359281437125,99,26,0.552065209000375,47.095885732553626
V09,voiceink-validation,VoiceInk validation sample,948,948,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipe line finish green even though the schema validation step logged seventeen errors? Is it continue on error set somewhere question mark?,,dataset_system_prompt,False,0.8873720136518771,0.8170944176459985,0.5,1.1865671641791045,99,28,0.613450875000126,45.64342662319008
V10,voiceink-validation,VoiceInk validation sample,1001,1001,new-cleanup-0.8b,New Cleanup 0.8B (Aug 31 checkpoint),please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.",Please shorten the permission dialog. It currently says “in order to continue” and “we need to be able to access your microphone.” Keep the reason visible though.,,dataset_system_prompt,False,0.9657320872274142,0.8681592857556026,0.23076923076923078,1.0188679245283019,101,33,0.6424710420001247,51.36418272995655
