case_id,dataset_id,dataset_name,source_record_id,source_index,model_id,model_name,input,reference,output,error,context_source,exact_match,edit_similarity,chrf,wer,length_ratio,input_tokens,output_tokens,generation_seconds,tokens_per_second
V01,voiceink-validation,VoiceInk validation sample,59,59,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.","Where should I return the folding chairs? The parish hall or the sports pavilion?

Who has the storage key? I can go tomorrow.",,dataset_system_prompt,False,0.9195402298850575,0.8273825692490084,0.24,0.9333333333333333,102,29,0.4940008339999622,58.70435433313908
V02,voiceink-validation,VoiceInk validation sample,67,67,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to dev: The freezer door looks shut, but it isn't sealing, so push it until you hear two clicks, not one full stop.",,dataset_system_prompt,False,0.923076923076923,0.8368532426261962,0.2727272727272727,1.1081081081081081,100,30,0.48176566700021795,62.27093804089287
V03,voiceink-validation,VoiceInk validation sample,113,113,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken,

We heard about your new house. We may visit next Sunday around tea time.

Warm wishes,
Lou and Fay",,dataset_system_prompt,False,0.9493087557603687,0.8524202101091505,0.21052631578947367,1.0092592592592593,100,28,0.46533562500007974,60.171623438448755
V04,voiceink-validation,VoiceInk validation sample,213,213,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?","Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car for the airport run?",,dataset_system_prompt,False,0.9393939393939393,0.8384756457152036,0.20833333333333334,1.0625,101,27,0.422650665999754,63.882544550434275
V05,voiceink-validation,VoiceInk validation sample,426,426,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive, Saturday morning:

- Separate the white laundry.
- Wash the towels at 60 and hang the linen shirts instead of machine drying them.",,dataset_system_prompt,False,0.9206349206349206,0.7808884846901971,0.36,0.9811320754716981,101,35,0.48874125000020285,71.61253526274992
V06,voiceink-validation,VoiceInk validation sample,465,465,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors, please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to reception before Monday’s delivery.",,dataset_system_prompt,False,0.9719626168224299,0.8992894327117655,0.125,0.9937888198757764,101,28,0.46132399999987683,60.69486954940015
V07,voiceink-validation,VoiceInk validation sample,582,582,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.","Support closed the incident at 11:40 PM UTC. Service had been stable since 10:55, and monitoring continued overnight with the incident commander remaining on call.",,dataset_system_prompt,False,0.940809968847352,0.8270524623240818,0.2916666666666667,1.0316455696202531,103,38,0.43965087499964284,86.432217381646
V08,voiceink-validation,VoiceInk validation sample,650,650,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.","The sales manager approved the five percent discount but not the free implementation package shown in the latest quote, despite a separate verbal concession request.",,dataset_system_prompt,False,0.8554216867469878,0.74880992440151,0.4,0.9880239520958084,99,27,0.4307371670001885,62.68323717694922
V09,voiceink-validation,VoiceInk validation sample,948,948,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipeline finish green even though the schema validation step logged seventeen errors?,,dataset_system_prompt,False,0.8368200836820082,0.7241162689931855,0.25,0.7835820895522388,99,17,0.4096383750002133,41.50001815623634
V10,voiceink-validation,VoiceInk validation sample,1001,1001,new-cleanup-0.8b-4bit,New Cleanup 0.8B 4-bit,please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.",Please shorten the permission dialog to continue we need to be able to access your microphone. Keep the reason visible though.,,dataset_system_prompt,False,0.8842105263157894,0.7204347906846843,0.34615384615384615,0.7924528301886793,101,23,0.3728438329999335,61.68802582824027
