case_id,dataset_id,input,reference,old_output,new_output,old_error,new_error,old_finish_reason,new_finish_reason,both_completed,old_exact_match,new_exact_match,old_edit_similarity,new_edit_similarity,delta_edit_similarity,old_chrf,new_chrf,delta_chrf,old_wer,new_wer,delta_wer,old_seconds,new_seconds
V01,voiceink-validation,mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.","Minia, where should I return the folding chairs? The parish hall or the sports pavilion?

Question mark and who has the storage key? I can go tomorrow.","Where should I return the folding chairs? The parish hall or the sports pavilion?

Question: Who has the storage key?
I can go tomorrow.",,,stop,stop,True,False,False,0.923076923076923,0.8929889298892989,-0.030087993187624118,0.8703137018704039,0.8176226954888203,-0.05269100638158364,0.24,0.32,0.08000000000000002,1.6736122920001435,1.0540694159999475
V02,voiceink-validation,message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to Dev: The freezer door looks shut but it isn't sealing. Push it until you hear two clicks, not one full stop.","Message to dev: The freezer door looks shut, but it isnt sealing, so push it until you hear two clicks.",,,stop,stop,True,False,False,0.8956521739130436,0.9252336448598131,0.02958147094676944,0.7614844791671005,0.7811571994483819,0.01967272028128142,0.4090909090909091,0.2727272727272727,-0.1363636363636364,0.5609834169999885,0.586302582999906
V03,voiceink-validation,dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken, we heard about your new house. May we visit next Sunday around tea time? Warm wishes, Lou and Fay.","Dear Ken,

We heard about your new house. May we visit next Sunday around tea time?

Warm wishes,
Lou and Fay",,,stop,stop,True,False,False,0.9444444444444444,0.9953917050691244,0.050947260624680024,0.9312505492138318,0.9819977433574129,0.05074719414358109,0.3157894736842105,0.10526315789473684,-0.21052631578947367,0.5536691249999421,0.5795653749996745
V04,voiceink-validation,can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?",Can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car for the airport run?,"Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car?",,,stop,stop,True,False,False,0.935361216730038,0.8524590163934427,-0.08290220033659534,0.801849993870417,0.7076558470661475,-0.09419414680426952,0.25,0.4166666666666667,0.16666666666666669,0.5431913749998785,0.5570846669997991
V05,voiceink-validation,before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive, Saturday morning, separate the white laundry. Wash the towels at sixty and hang the linen shirts instead of machine drying them.","Before the guests arrive, Saturday morning:

- Separate the white laundry.
- Wash the towels at sixty.
- Hang the linen shirts instead of machine drying them.",,,stop,stop,True,False,False,0.9329073482428114,0.8769716088328076,-0.05593573941000385,0.8097014954314176,0.7188907789185063,-0.09081071651291128,0.28,0.48,0.19999999999999996,0.5888965419999295,0.7320684589999473
V06,voiceink-validation,dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors, please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will be moved to reception before Monday's delivery.","Dear neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to reception before Monday’s delivery.

Best,
[Your Name]",,,stop,stop,True,False,False,0.9538461538461537,0.9325513196480939,-0.021294834198059776,0.8254122527719122,0.9101226412703347,0.0847103884984225,0.25,0.16666666666666666,-0.08333333333333334,0.5856325419999848,0.749956249999741
V07,voiceink-validation,support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.",Support closed the incident at 11:40 p.m. UTC. Service had been stable since 10:05 p.m. Monitoring continued overnight with the incident commander remaining on call.,"Support closed the incident at 11:40 UTC. Service had been stable since 10:05, and monitoring continued overnight with the incident commander remaining on call.",,,stop,stop,True,False,False,0.8978328173374613,0.9371069182389937,0.03927410090153238,0.7523859412008216,0.8247407882006729,0.07235484699985129,0.4166666666666667,0.2916666666666667,-0.125,0.6992311660001178,0.7218661249999059
V08,voiceink-validation,the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.","The sales manager approved a five percent discount but not the free implementation package shown in the latest quote, despite a separate verbal concession request.",The sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request.,,,stop,stop,True,False,False,0.8484848484848484,0.8580060422960725,0.009521193811224071,0.7280795769756885,0.7465118579215112,0.01843228094582272,0.44,0.4,-0.03999999999999998,0.5218076249998376,0.552065209000375
V09,voiceink-validation,why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipeline finish green even though the schema validation step logged seventeen errors? Is it continuing on error set somewhere?,Why did the nightly pipe line finish green even though the schema validation step logged seventeen errors? Is it continue on error set somewhere question mark?,,,stop,stop,True,False,False,0.9214285714285715,0.8873720136518771,-0.03405655777669436,0.8558843758789592,0.8170944176459985,-0.03878995823296061,0.25,0.5,0.25,0.5311560420000205,0.613450875000126
V10,voiceink-validation,please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.",Please shorten the permission dialog to continue. We need to be able to access your microphone. Keep the reason visible.,Please shorten the permission dialog. It currently says “in order to continue” and “we need to be able to access your microphone.” Keep the reason visible though.,,,stop,stop,True,False,False,0.8458781362007168,0.9657320872274142,0.11985395102669738,0.6765817965169388,0.8681592857556026,0.1915774892386638,0.4230769230769231,0.23076923076923078,-0.1923076923076923,0.507043290999718,0.6424710420001247
V11,voiceink-validation,the search index skipped records with emoji in the title reprocessing succeeds after unicode normalization form c is applied period existing records need back filling,The search index skipped records with emoji in the title. Reprocessing succeeds after Unicode Normalization Form C is applied. Existing records need backfilling.,The search index skipped records with emojis in the title. Reprocessing succeeds after Unicode normalization. Form C is applied. Existing records need backfilling.,The search index skipped records with emoji in the title. Reprocessing succeeds after Unicode normalization (form C) is applied. Existing records need back-filling.,,,stop,stop,True,False,False,0.9876543209876543,0.9784615384615385,-0.009192782526115773,0.9195698719191442,0.8840035492542944,-0.035566322664849825,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.5852881249998063,0.6605760000002192
