case_id,dataset_id,dataset_name,source_record_id,source_index,model_id,model_name,input,reference,output,error,context_source,exact_match,edit_similarity,chrf,wer,length_ratio,input_tokens,output_tokens,generation_seconds,tokens_per_second
V01,voiceink-validation,VoiceInk validation sample,59,59,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.","Minia, where should I return the folding chairs? The parish hall or the sports pavilion?

Question mark and who has the storage key? I can go tomorrow.",,dataset_system_prompt,False,0.923076923076923,0.8703137018704039,0.24,1.1185185185185185,102,35,1.6736122920001435,20.912848314570695
V02,voiceink-validation,VoiceInk validation sample,67,67,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to Dev: The freezer door looks shut but it isn't sealing. Push it until you hear two clicks, not one full stop.",,dataset_system_prompt,False,0.8956521739130436,0.7614844791671005,0.4090909090909091,1.072072072072072,100,28,0.5609834169999885,49.91234883508254
V03,voiceink-validation,VoiceInk validation sample,113,113,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken, we heard about your new house. May we visit next Sunday around tea time? Warm wishes, Lou and Fay.",,dataset_system_prompt,False,0.9444444444444444,0.9312505492138318,0.3157894736842105,1.0,100,26,0.5536691249999421,46.959454349206695
V04,voiceink-validation,VoiceInk validation sample,213,213,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?",Can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car for the airport run?,,dataset_system_prompt,False,0.935361216730038,0.801849993870417,0.25,1.0546875,101,26,0.5431913749998785,47.86526663831107
V05,voiceink-validation,VoiceInk validation sample,426,426,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive, Saturday morning, separate the white laundry. Wash the towels at sixty and hang the linen shirts instead of machine drying them.",,dataset_system_prompt,False,0.9329073482428114,0.8097014954314176,0.28,0.9685534591194969,101,29,0.5888965419999295,49.24464304292599
V06,voiceink-validation,VoiceInk validation sample,465,465,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors, please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will be moved to reception before Monday's delivery.",,dataset_system_prompt,False,0.9538461538461537,0.8254122527719122,0.25,1.0186335403726707,101,29,0.5856325419999848,49.5191061291822
V07,voiceink-validation,VoiceInk validation sample,582,582,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.",Support closed the incident at 11:40 p.m. UTC. Service had been stable since 10:05 p.m. Monitoring continued overnight with the incident commander remaining on call.,,dataset_system_prompt,False,0.8978328173374613,0.7523859412008216,0.4166666666666667,1.0443037974683544,103,41,0.6992311660001178,58.635830314224144
V08,voiceink-validation,VoiceInk validation sample,650,650,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.","The sales manager approved a five percent discount but not the free implementation package shown in the latest quote, despite a separate verbal concession request.",,dataset_system_prompt,False,0.8484848484848484,0.7280795769756885,0.44,0.9760479041916168,99,27,0.5218076249998376,51.743207087110704
V09,voiceink-validation,VoiceInk validation sample,948,948,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipeline finish green even though the schema validation step logged seventeen errors? Is it continuing on error set somewhere?,,dataset_system_prompt,False,0.9214285714285715,0.8558843758789592,0.25,1.0895522388059702,99,25,0.5311560420000205,47.06714792486354
V10,voiceink-validation,VoiceInk validation sample,1001,1001,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.",Please shorten the permission dialog to continue. We need to be able to access your microphone. Keep the reason visible.,,dataset_system_prompt,False,0.8458781362007168,0.6765817965169388,0.4230769230769231,0.7547169811320755,101,23,0.507043290999718,45.36101829619276
V11,voiceink-validation,VoiceInk validation sample,1107,1107,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),the search index skipped records with emoji in the title reprocessing succeeds after unicode normalization form c is applied period existing records need back filling,The search index skipped records with emoji in the title. Reprocessing succeeds after Unicode Normalization Form C is applied. Existing records need backfilling.,The search index skipped records with emojis in the title. Reprocessing succeeds after Unicode normalization. Form C is applied. Existing records need backfilling.,,dataset_system_prompt,False,0.9876543209876543,0.9195698719191442,0.08695652173913043,1.0124223602484472,100,30,0.5852881249998063,51.256806209779036
V12,voiceink-validation,VoiceInk validation sample,1111,1111,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),paragraph break the tablet layout is usable in portrait period in landscape the sticky footer overlaps the final form field by twenty four pixels period rotation does not recalculate it,"The tablet layout is usable in portrait. In landscape, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate it.","The tablet layout is usable in portrait mode. In landscape mode, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate.",,dataset_system_prompt,False,0.9576547231270358,0.9266417185260976,0.24,1.0466666666666666,105,33,0.6232521249999081,52.94807458539329
V13,voiceink-validation,VoiceInk validation sample,1211,1211,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),can you check whether the variance calculation uses n or n minus one results differ from the published table by point zero three before correcting the published appendix,Can you check whether the variance calculation uses n or n−1? Results differ from the published table by 0.03. Check this before correcting the published appendix.,Can you check whether the variance calculation uses n or n-1 results differ from the published table by 0.3 before correcting the published appendix?,,dataset_system_prompt,False,0.9358974358974359,0.8223675230464557,0.23076923076923078,0.9141104294478528,102,30,0.5947980830001143,50.43728427751882
V14,voiceink-validation,VoiceInk validation sample,1257,1257,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),during the quarterly structural survey inspection at pier two found minor scaling above the water line comma no exposed reinforcement and no measurable change since march,"During the quarterly structural survey, inspection at Pier 2 found minor scaling above the waterline, no exposed reinforcement, and no measurable change since March.","During the quarterly structural survey inspection at Pier Two, minor scaling was found above the water line. No exposed reinforcement was detected, and no measurable change was observed since March.",,dataset_system_prompt,False,0.859504132231405,0.780104442821791,0.5416666666666666,1.2,100,34,0.6107095830002436,55.672943321058774
V15,voiceink-validation,VoiceInk validation sample,1368,1368,old-cleanup-0.8b,Old Cleanup 0.8B (Aug 1 checkpoint),thirty minute discharge test reading colon battery bank voltage was twenty five point six at rest comma then dropped to twenty two point nine under inverter load,"30-minute discharge-test reading: Battery-bank voltage was 25.6 at rest, then dropped to 22.9 under inverter load.","Thirty-minute discharge test reading:
- Colon battery bank voltage at rest: 25.6 V
- Under inverter load: 22.9 V",,dataset_system_prompt,False,0.7079646017699115,0.5223198321203212,1.0,0.9824561403508771,103,34,0.6282085409998217,54.12215495492547
